departure_airport_name,departure_airport_code,arrival_airport_name,arrival_airport_code,airline_name,airline_assured_name,departure_city_name,departure_city_code,arrival_city_name,arrival_city_code,stopover_count,stopover_city_name,stopover_city_code,stopover_airport_name,stopover_airport_code,stopover_country,departure_country_name,departure_country_code,arrival_country_name,arrival_country_code,distance
Aéroport de Paris-Orly,ORY,Aéroport de Mohamed V,CMN,Transavia France,,Paris,PAR,Casablanca,CAS,0,,,,,,France,FR,Maroc,MA,1899
Aéroport de Paris-Orly,ORY,Aéroport de Mazamet,DCM,HOP!,,Paris,PAR,Castres,DCM,0,,,,,,France,FR,France,FR,576
Aéroport de Paris-Orly,ORY,Aéroport de Fontanarossa,CTA,Transavia France,,Paris,PAR,Catane,CTA,0,,,,,,France,FR,Italie,IT,1621
Aéroport de Paris-Orly,ORY,Aéroport de Rochambeau,CAY,Air France,,Paris,PAR,Cayenne,CAY,0,,,,,,France,FR,Guyane française,GF,7092
Aéroport de Charles De Gaulle,CDG,Aéroport International O'Hare,ORD,Air France,,Paris,PAR,"Chicago, IL",CHI,0,,,,,,France,FR,États-Unis d'Amérique,US,6672
Aéroport de Charles De Gaulle,CDG,Aéroport d' Aulnat,CFE,Air France,HOP!,Paris,PAR,Clermont-Ferrand,CFE,0,,,,,,France,FR,France,FR,362
Aéroport de Paris-Orly,ORY,Aéroport d' Aulnat,CFE,Air France,HOP!,Paris,PAR,Clermont-Ferrand,CFE,0,,,,,,France,FR,France,FR,333
Aéroport de Charles De Gaulle,CDG,Aéroport de Conakry,CKY,Air France,,Paris,PAR,Conakry,CKY,1,Freetown,FNA),Aéroport International Lungi,,Sierra Leone,France,FR,Guinée,GN,4640
Aéroport de Charles De Gaulle,CDG,Aéroport de Conakry,CKY,Air France,,Paris,PAR,Conakry,CKY,1,Nouakchott,NKC),Aéroport de Nouakchott,,Mauritanie,France,FR,Guinée,GN,4640
Aéroport de Charles De Gaulle,CDG,Aéroport de Copenhagen,CPH,Air France,,Paris,PAR,Copenhague,CPH,0,,,,,,France,FR,Danemark,DK,1006
Aéroport de Paris-Orly,ORY,Aéroport d' I. Kapodistrias,CFU,Transavia France,,Paris,PAR,Corfou,CFU,0,,,,,,France,FR,Grèce,GR,1724
Aéroport de Charles De Gaulle,CDG,Aéroport de Cotonou,COO,Air France,,Paris,PAR,Cotonou,COO,0,,,,,,France,FR,Bénin,BJ,4748
Aéroport de Charles De Gaulle,CDG,Aéroport de Yoff,DKR,Air France,,Paris,PAR,Dakar,DKR,0,,,,,,France,FR,Sénégal,SN,4229
Aéroport de Paris-Orly,ORY,Aéroport de Yoff,DKR,Transavia France,,Paris,PAR,Dakar,DKR,1,Boa Vista Island,BVC),Aéroport de Rabil,,Cap-Vert,France,FR,Sénégal,SN,4196
Aéroport de Charles De Gaulle,CDG,Aéroport International Indira Gandhi,DEL,Air France,,Paris,PAR,Delhi,DEL,0,,,,,,France,FR,Inde,IN,6573
Aéroport de Charles De Gaulle,CDG,Aéroport de Wayne County,DTW,Air France,,Paris,PAR,"Détroit, MI",DTT,0,,,,,,France,FR,États-Unis d'Amérique,US,6365
Aéroport de Paris-Orly,ORY,Aéroport de Melita,DJE,Transavia France,,Paris,PAR,Djerba,DJE,0,,,,,,France,FR,Tunisie,TN,1794
Aéroport de Charles De Gaulle,CDG,Aéroport d' Ambouli,JIB,Air France,,Paris,PAR,Djibouti,JIB,0,,,,,,France,FR,Djibouti,DJ,5597
Aéroport de Charles De Gaulle,CDG,Aéroport de Douala,DLA,Air France,,Paris,PAR,Douala,DLA,0,,,,,,France,FR,Cameroun,CM,5055
Aéroport de Charles De Gaulle,CDG,Aéroport de Douala,DLA,Air France,,Paris,PAR,Douala,DLA,1,Yaoundé,NSI),Aéroport de Nsimalen,,Cameroun,France,FR,Cameroun,CM,5055
Aéroport de Charles De Gaulle,CDG,Aéroport de Dubai,DXB,Air France,,Paris,PAR,Dubaï,DXB,0,,,,,,France,FR,Émirats arabes unis,AE,5243
Aéroport de Charles De Gaulle,CDG,Aéroport de Dublin,DUB,Air France,,Paris,PAR,Dublin,DUB,0,,,,,,France,FR,Irlande,IE,785
Aéroport de Charles De Gaulle,CDG,Aéroport de Dublin,DUB,Air France,Cityjet,Paris,PAR,Dublin,DUB,0,,,,,,France,FR,Irlande,IE,785
