departure_airport_name,departure_airport_code,departure_city_name,departure_city_code,departure_city_longitude,departure_city_latitude,departure_country_name,departure_country_code,arrival_airport_name,arrival_airport_code,arrival_city_name,arrival_city_code,arrival_city_longitude,arrival_city_latitude,arrival_country_name,arrival_country_code,airline_name,airline_assured_name,stopover_count,stopover_city_name,stopover_city_code,stopover_city_longitude,stopover_city_latitude,stopover_airport_name,stopover_airport_code,stopover_country,distance,type
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Ferihegy,BUD,Budapest,BUD,19.04,47.5,Hongrie,HU,Air France,,0,,,,,,,,1247,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Ferihegy,BUD,Budapest,BUD,19.04,47.5,Hongrie,HU,Transavia France,,0,,,,,,,,1260,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Ministro Pistarini,EZE,Buenos Aires,BUE,-58.38,-34.6,Argentine,AR,Air France,,0,,,,,,,,11111,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Sainte Catherine,CLY,Calvi,CLY,8.79,42.53,France,FR,Air France,HOP!,0,,,,,,,,869,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Sainte Catherine,CLY,Calvi,CLY,8.79,42.53,France,FR,Air France,,0,,,,,,,,853,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Cancun,CUN,Cancun,CUN,-86.87,21.16,Mexique,MX,Air France,,0,,,,,,,,8227,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Simon Bolivar,CCS,Caracas,CCS,-66.9,10.49,Vénézuela,VE,Air France,,0,,,,,,,,7640,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Mohamed V,CMN,Casablanca,CAS,-7.58,33.56,Maroc,MA,Air France,,0,,,,,,,,1933,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Mohamed V,CMN,Casablanca,CAS,-7.58,33.56,Maroc,MA,Transavia France,,0,,,,,,,,1899,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Mazamet,DCM,Castres,DCM,2.28,43.56,France,FR,HOP!,,0,,,,,,,,576,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Fontanarossa,CTA,Catane,CTA,15.1,37.51,Italie,IT,Transavia France,,0,,,,,,,,1621,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Rochambeau,CAY,Cayenne,CAY,-52.37,4.92,Guyane française,GF,Air France,,0,,,,,,,,7092,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport International O'Hare,ORD,"Chicago, IL",CHI,-87.65,41.85,États-Unis d'Amérique,US,Air France,,0,,,,,,,,6672,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Aulnat,CFE,Clermont-Ferrand,CFE,3.09,45.79,France,FR,Air France,HOP!,0,,,,,,,,362,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Aulnat,CFE,Clermont-Ferrand,CFE,3.09,45.79,France,FR,Air France,HOP!,0,,,,,,,,333,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Conakry,CKY,Conakry,CKY,-13.68,9.58,Guinée,GN,Air France,,1,Freetown,FNA,-13.2,8.48,Aéroport International Lungi,FNA,Sierra Leone,4640,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Conakry,CKY,Conakry,CKY,-13.68,9.58,Guinée,GN,Air France,,1,Nouakchott,NKC,-15.96,18.07,Aéroport de Nouakchott,NKC,Mauritanie,4640,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Copenhagen,CPH,Copenhague,CPH,12.57,55.68,Danemark,DK,Air France,,0,,,,,,,,1006,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport d' I. Kapodistrias,CFU,Corfou,CFU,19.83,39.6,Grèce,GR,Transavia France,,0,,,,,,,,1724,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Cotonou,COO,Cotonou,COO,2.39,6.35,Bénin,BJ,Air France,,0,,,,,,,,4748,LineString
